Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Vakharia, Vejay N; Sparks, Rachel E; Li, Kuo; O'Keeffe, Aidan G; Pérez‐García, Fernando; França, Lucas GS; Ko, Andrew L; Wu, Chengyuan; Aronson, Joshua P; Youngerman, Brett E; ",Multicenter validation of automated trajectories for selective laser amygdalohippocampectomy,Epilepsia,60,9,1949-1959,2019,Wiley Online Library
"Pedemonte, Stefano; Bousse, Alexandre; Hutton, Brian F; Arridge, Simon; Ourselin, Sebastien; ",Probabilistic graphical model of SPECT/MRI,"Machine Learning in Medical Imaging: Second International Workshop, MLMI 2011, Held in Conjunction with MICCAI 2011, Toronto, Canada, September 18, 2011. Proceedings 2",,,167-174,2011,Springer
"Jia, Dengqiang; Shi, Wenzhe; Rueckert, Daniel; Liu, Liu; Ourselin, Sebastien; Zhuang, Xiahai; ",A multi-resolution multi-model method for coronary centerline extraction based on minimal path,"Medical Imaging and Augmented Reality: 7th International Conference, MIAR 2016, Bern, Switzerland, August 24-26, 2016, Proceedings 7",,,320-328,2016,Springer
"Prima, Sylvain; Ourselin, Sébastien; Ayache, Nicholas; ",Computation of the mid-sagittal plane in 3-D brain images,IEEE transactions on medical imaging,21,2,122-138,2002,IEEE
"Andrews, K Abigail; Modat, Marc; Macdonald, Kate E; Yeatman, Tom; Cardoso, M Jorge; Leung, Kelvin K; Barnes, Josephine; Villemagne, Victor L; Rowe, Christopher C; Fox, Nick C; ",Atrophy rates in asymptomatic amyloidosis: implications for Alzheimer prevention trials,PloS one,8,3,e58816,2013,"Public Library of Science San Francisco, USA"
"Tur, C; Eshaghi, A; Altmann, DR; Jenkins, TM; Prados, F; Grussu, F; Charalambous, T; Schmidt, A; Ourselin, S; Clayden, JD; ",Structural cortical network reorganization associated with early conversion to multiple sclerosis,Scientific reports,8,1,10715,2018,Nature Publishing Group UK London
"Cardoso, M Jorge; Arbel, Tal; Lee, SL; Cheplygina, V; Balocco, S; Mateus, D; Zahnd, G; Maier-Hein, L; Demirci, S; Granger, E; ","Intravascular Imaging and Computer Assisted Stenting, and large-scale annotation of biomedical data and expert label synthesis","CVII-STENT and Second International Workshop, LABELS",,,,2017,Springer
"Weston, Philip SJ; Simpson, Ivor JA; Ryan, Natalie S; Ourselin, Sebastien; Fox, Nick C; ",Diffusion imaging changes in grey matter in Alzheimer’s disease: a potential marker of early neurodegeneration,Alzheimer's research & therapy,7,,1-8,2015,Springer
"Canas, Liane S; Sudre, Carole H; De Vita, Enrico; Nihat, Akin; Mok, Tze How; Slattery, Catherine F; Paterson, Ross W; Foulkes, Alexander JM; Hyare, Harpreet; Cardoso, M Jorge; ",Prion disease diagnosis using subject-specific imaging biomarkers within a multi-kernel Gaussian process,NeuroImage: Clinical,24,,102051,2019,Elsevier
"Ourselin, Sébastien; Emberton, Mark; Vercauteren, Tom; ",From computer-assisted intervention research to clinical impact: The need for a holistic approach,Medical image analysis,33,,72-78,2016,Elsevier
"Georgiadis, K; Wray, S; Ourselin, S; Warren, JD; Modat, M; ",Simulation of pathogenic protein spread in an artificial neural network,,,,,2016,10th International Conference on Frontotemporal Dementias
"Marcus, Hani J; Vakharia, Vejay N; Sparks, Rachel; Rodionov, Roman; Kitchen, Neil; McEvoy, A; Miserocchi, Anna; Thorne, Lewis; Ourselin, Sebastien; Duncan, John S; ",WP1-15 Computer-assisted versus manual planning for stereotactic brain biopsy: retrospective comparative pilot study,"Journal of Neurology, Neurosurgery and Psychiatry",90,3,e5,2019,BMJ Publishing Group Ltd
"Melbourne, Andrew; Eaton-Rosen, Zach; Orasanu, Eliza; Beckmann, Joanne; Saborowska, Alexandra; Atkinson, David; Marlow, Neil; Ourselin, Sebastien; ",Perfusion and diffusion in the extremely preterm young adult thalamus,,,,,2016,ISMRM
"Holmes, HE; Powell, NM; Ma, D; Ismail, O; Harrison, IF; Wells, JA; Colgan, N; O'Callaghan, JM; Johnson, RA; Murray, TK; ",Comparison ofIn VivoandEx VivoMRI for the Detection of Structural Abnormalities in a Mouse Model of Tauopathy,,,,,2017,
"Maneas, Efthymios; Hauptmann, Andreas; Alles, Erwin J; Xia, Wenfeng; Vercauteren, Tom; Ourselin, Sebastien; David, Anna L; Arridge, Simon; Desjardins, Adrien E; ",Deep learning for instrumented ultrasonic tracking: From synthetic training data to in vivo application,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",69,2,543-552,2021,IEEE
"Fripp, Jurgen; Bourgeat, Pierrick; Engstrom, Craig; Ourselin, Sebastien; Crozier, Stuart; Salvado, Olivier; ",Automated segmentation of the menisci from MR images,2009 IEEE international symposium on biomedical imaging: from nano to macro,,,510-513,2009,IEEE
"Hamy, Valentin; Modat, Marc; Shipley, Rebecca; Dikaios, Nikos; Cleary, Jon; Punwani, Shonit; Ourselin, Sebastien; Atkinson, David; Melbourne, Andrew; ",Multi-modal pharmacokinetic modelling for DCE-MRI: using diffusion weighted imaging to constrain the local arterial input function,Medical Imaging 2014: Image Processing,9034,,180-187,2014,SPIE
"Baker, Christian; Xochicale, Miguel; Joubert, Francois; Lin, Fang-yu; Mathews, Sunish; Shakir, Dzhoshkun I; Ourselin, Sebastien; David, Anna; Dromey, Brian; Desjardins, Adrien; ",Real-time ultrasonic needle tip tracking with an integrated fibre-optic hydrophone (Conference Presentation),Advanced Biomedical and Clinical Diagnostic and Surgical Guidance Systems XXI,,,PC1236801,2023,SPIE
"Keihaninejad, Shiva; Zhang, Hui; Shakespeare, Tim; Ryan, Natalie; Malone, Ian; Frost, Chris; Cardoso, Manuel; Modat, Marc; Lehmann, Manja; Mancini, Laura; ",P1‐197: Longitudinal changes in fibre tract integrity in posterior cortical atrophy: A serial diffusion tensor imaging,Alzheimer's & Dementia,8,4S_Part_5,P175-P176,2012,Wiley Online Library
"Alley, Stephanie; Grussu, Francesco; Yiannakas, Marios C; Kearney, Hugh; Ciccarelli, Olga; Prados, Ferran; Ourselin, Sébastien; Wheeler-Kingshott, Claudia AM Gandini; ",A ranking of pipelines for optimal co-registration of anatomical and diffusion weighted images of the cervical spinal cord,,,,,2017,ISMRM 25TH ANNUAL MEETING & EXHIBITION
"Cordeiro, Maria F; Normando, Eduardo M; Cardoso, M Jorge; Miodragovic, Serge; Jeylani, Seham; Davis, Benjamin M; Guo, Li; Ourselin, Sebastien; A’Hern, Roger; Bloom, Philip A; ",Real-time imaging of single neuronal cell apoptosis in patients with glaucoma,Brain,140,6,1757-1767,2017,Oxford University Press
"Grussu, Francesco; Battiston, Marco; Veraart, Jelle; Schneider, Torben; Cohen-Adad, Julien; Cardoso, Manuel Jorge; Alexander, Daniel C; Novikov, Dmitry S; Fieremans, Els; Wheeler-Kingshott, Claudia Angela Gandini; ",A unified signal readout improves denoising of multi-modal spinal cord MRI,,,,,,
"Zhuang, Xiahai; Shi, Wenzhe; Duckett, Simon; Wang, Haiyan; Razavi, Reza; Hawkes, David; Rueckert, Daniel; Ourselin, Sebastien; ",A framework combining multi-sequence MRI for fully automated quantitative analysis of cardiac global and regional functions,"Functional Imaging and Modeling of the Heart: 6th International Conference, FIMH 2011, New York City, NY, USA, May 25-27, 2011. Proceedings 6",,,367-374,2011,Springer
"Maneas, Efthymios; Xia, Wenfeng; Nikitichev, Daniil; Pratt, Rosalind; Ourselin, Sebastien; West, Simeon J; David, Anna L; Finlay, Malcolm; Vercauteren, Tom; Desjardins, Adrien E; ",Patient-specific tissue-mimicking phantoms for photoacoustic and ultrasound imaging (Conference Presentation),Photons Plus Ultrasound: Imaging and Sensing 2018,10494,,1049425,2018,SPIE
"Ghazi, Mostafa Mehdipour; Sørensen, Lauge; Pai, Akshay; Cardoso, Jorge; Modat, Marc; Ourselin, Sebastien; Nielsen, Mads; ",Disease progression modeling‐based prediction of cognitive decline: Neuroimaging/Optimal neuroimaging measures for tracking disease progression,Alzheimer's & Dementia,16,,e043850,2020,Wiley Online Library
"van de Pavert, SH; Pardini, M; Eshaghi, A; Prados, F; Yaldizli, O; Sethi, V; Ourselin, S; Wheeler-Kingshott, CAG; Miller, DH; Ciccarelli, O; ",Spatial and temporal characteristics of magnetisation transfer ratio changes in different corticothalamic systems in multiple sclerosis,,,,,2016,32nd Congress of the European-Committee-for-Treatment-and-Research-in …
"Collorone, S; Prados, F; Davagnanam, I; Tur, C; Kanber, B; Grussu, F; Solanky, BS; Ourselin, S; Wheeler-Kingshott, CAM; Toosy, AT; ",Neurite Orientation Dispersion and Density Imaging (NODDI) and Na-23 MRI in clinically isolated syndrome,MULTIPLE SCLEROSIS JOURNAL,24,,411-411,2018,"SAGE PUBLICATIONS LTD 1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND"
"Raniga, Parnesh; Bourgeat, Pierrick; Ourselin, Sébastien; Villemagne, Victor; O'Keefe, Graeme; Rowe, Christopher; ",PIB-PET segmentation for automatic SUVR normalisation without MR information,2007 4th IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,348-351,2007,IEEE
"Fyles, Martyn; Vihta, Karina-Doris; Sudre, Carole H; Long, Harry; Das, Rajenki; Jay, Caroline; Wingfield, Tom; Cumming, Fergus; Green, William; Hadjipantelis, Pantelis; ",Diversity of symptom phenotypes in SARS-CoV-2 community infections observed in multiple large datasets,arXiv preprint arXiv:2111.05728,,,,2021,
"Cardoso, M Jorge; Leung, Kelvin; Modat, Marc; Keihaninejad, Shiva; Cash, David; Barnes, Josephine; Fox, Nick C; Ourselin, Sebastien; Alzheimer’s Disease Neuroimaging Initiative; ",STEPS: Similarity and Truth Estimation for Propagated Segmentations and its application to hippocampal segmentation and brain parcelation,Medical image analysis,17,6,671-684,2013,Elsevier
"Gibson, Eli; Li, Wenqi; Sudre, Carole; Fidon, Lucas; Shakir, Dzhoshkun I; Wang, Guotai; Eaton-Rosen, Zach; Gray, Robert; Doel, Tom; Hu, Yipeng; ",NiftyNet: a deep-learning platform for medical imaging,Computer methods and programs in biomedicine,158,,113-122,2018,Elsevier
"Klaser, Kerstin; Thompson, Ellen J; Nguyen, Long H; Sudre, Carole H; Antonelli, Michela; Murray, Benjamin; Canas, Liane S; Molteni, Erika; Graham, Mark S; Kerfoot, Eric; ",Anxiety and depression symptoms after COVID-19 infection: results from the COVID Symptom Study app,"Journal of Neurology, Neurosurgery & Psychiatry",92,12,1254-1258,2021,BMJ Publishing Group Ltd
"Cash, David M; Rohrer, Jonathan D; Ryan, Natalie S; Ourselin, Sebastien; Fox, Nick C; ",Imaging endpoints for clinical trials in Alzheimer’s disease,Alzheimer's research & therapy,6,,1-10,2014,Springer
"Bourgeat, Pierrick; Ourselin, Sébastien; Stanwell, Peter; Ramadan, Saadallah; ",Texture-based segmentation of the knee bones in MRI using phase information,"3rd IEEE International Symposium on Biomedical Imaging: Nano to Macro, 2006.",,,742-745,2006,IEEE
"Zuluaga, Maria A; Cardoso, M Jorge; Ourselin, Sebastien; ",Automatic right ventricle segmentation using multi-label fusion in cardiac MRI,arXiv preprint arXiv:2004.02317,,,,2020,
"Lehmann, Manja; Rohrer, Jonathan D; Clarkson, Matthew J; Ridgway, Gerard R; Scahill, Rachael I; Modat, Marc; Warren, Jason D; Ourselin, Sebastien; Barnes, Josephine; Rossor, Martin N; ",Reduced cortical thickness in the posterior cingulate gyrus is characteristic of both typical and atypical Alzheimer's disease,Journal of Alzheimer's Disease,20,2,587-598,2010,IOS Press
"Kennedy, Beatrice; Fitipaldi, Hugo; Hammar, Ulf; Maziarz, Marlena; Tsereteli, Neli; Oskolkov, Nikolay; Varotsis, Georgios; Franks, Camilla A; Spiliopoulos, Lampros; Adami, Hans-Olov; ",App-based COVID-19 surveillance and prediction: the COVID Symptom Study Sweden,medRxiv,,,2021.06. 16.21258691,2021,Cold Spring Harbor Laboratory Press
"Diez, Sergio Portoles; Borghesan, Gianni; Joyeux, Luc; Meuleman, Christel; Deprest, Jan; Stoyanov, Danail; Ourselin, Sebastien; Vercauteren, Tom; Reynaerts, Dominiek; Vander Poorten, Emmanuel B; ",Evaluation of haptic feedback on bimanually teleoperated laparoscopy for endometriosis surgery,IEEE transactions on biomedical engineering,66,5,1207-1221,2018,IEEE
"Fidon, Lucas; Li, Wenqi; Garcia-Peraza-Herrera, Luis C; Ekanayake, Jinendra; Kitchen, Neil; Ourselin, Sébastien; Vercauteren, Tom; ",Generalised wasserstein dice score for imbalanced multi-class segmentation using holistic convolutional networks,"Brainlesion: Glioma, Multiple Sclerosis, Stroke and Traumatic Brain Injuries: Third International Workshop, BrainLes 2017, Held in Conjunction with MICCAI 2017, Quebec City, QC, Canada, September 14, 2017, Revised Selected Papers 3",,,64-76,2018,Springer
"Cardoso, M Jorge; Winston, Gavin; Modat, Marc; Keihaninejad, Shiva; Duncan, John; Ourselin, Sebastien; ",Geodesic Shape-based averaging,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2012: 15th International Conference, Nice, France, October 1-5, 2012, Proceedings, Part III 15",,,26-33,2012,Springer
"Lima, Carlos S; Tavares, Adriano; Correia, José H; Cardoso, Manuel J; Barbosa, Daniel; ",Non-stationary biosignal modelling,New Developments in Biomedical Engineering,,,37-72,2010,IntechOpen
"Ma, Da; Holmes, Holly E; Cardoso, Manuel J; Modat, Marc; Harrison, Ian F; Powell, Nick M; O’Callaghan, James M; Ismail, Ozama; Johnson, Ross A; O’Neill, Michael J; ",Study the longitudinal in vivo and cross-sectional ex vivo brain volume difference for disease progression and treatment effect on mouse model of tauopathy using automated MRI structural parcellation,Frontiers in Neuroscience,13,,11,2019,Frontiers Media SA
"Owen, David; Melbourne, Andrew; Sokolska, Magdalena; Thomas, David L; Rohrer, Jonathan; Ourselin, Sebastien; ",Bayesian experimental design for multi-parametric T1/T2 relaxometry and diffusion,"Proceedings of the Annual Meeting of the International Society for Magnetic Resonance in Medicine, Honolulu, Hawaii",,,,2017,
"Keihaninejad, Shiva; Ryan, Natalie S; Malone, Ian B; Modat, Marc; Cash, David; Ridgway, Gerard R; Zhang, Hui; Fox, Nick C; Ourselin, Sebastien; ",The importance of group-wise registration in tract based spatial statistics study of neurodegeneration: a simulation study in Alzheimer's disease,PloS one,7,11,e45996,2012,"Public Library of Science San Francisco, USA"
"Laureano, Beatriz; Irzan, Hassna; Ourselin, Sébastien; Marlow, Neil; Melbourne, Andrew; ",Myelination of preterm brain networks at adolescence,"Uncertainty for Safe Utilization of Machine Learning in Medical Imaging, and Perinatal Imaging, Placental and Preterm Image Analysis: 3rd International Workshop, UNSURE 2021, and 6th International Workshop, PIPPI 2021, Held in Conjunction with MICCAI 2021, Strasbourg, France, October 1, 2021, Proceedings 3",,,179-188,2021,Springer
"Shapey, Jonathan; Xie, Yijing; Nabavi, Elham; Ebner, Michael; Saeed, Shakeel R; Kitchen, Neil; Dorward, Neil; Grieve, Joan; McEvoy, Andrew W; Miserocchi, Anna; ",Optical properties of human brain and tumour tissue: An ex vivo study spanning the visible range to beyond the second near‐infrared window,Journal of biophotonics,15,4,e202100072,2022,Wiley Online Library
"Wilcox, M; Canas, LDS; Hargunani, R; Tidswell, T; Phillips, J; Modat, M; Ourselin, S; Quick, T; ",22 volumetric MRI; a potential outcome measure of muscle reinnervation,British Journal of Surgery,108,Supplement_2,znab134. 527,2021,Oxford University Press
"Clarkson, Matthew J; Cardoso, M Jorge; Modat, Marc; Ridgway, Gerard R; Leung, Kelvin K; Rohrer, Jonathan D; Fox, Nick C; Ourselin, Sébastien; ",Cross-sectional analysis using voxel or surface based cortical thickness methods: A comparison study,2011 IEEE International Symposium on Biomedical Imaging: From Nano to Macro,,,381-384,2011,IEEE
"Bhakhri, Kunal; Hyde, Eoin R; Mak, Sze M; Berger, Lorenz U; Ourselin, Sebastien; Routledge, Tom; Billè, Andrea; ",Surgeon knowledge of the pulmonary arterial system and surgical plan confidence is improved by interactive virtual 3D-CT models of lung cancer patient anatomies,Frontiers in Surgery,8,,652428,2021,Frontiers Media SA
"Byrne, Monika; Aughwane, Rosalind; James, Joanna; Hutchinson, Ciaran; Arthurs, Owen; Sebire, Neil; Ourselin, Sebastien; David, Anna; Melbourne, Andrew; Clark, Alys; ",Structure-function relationships in the feto-placental circulation from in silico interpretation of micro-CT vascular structures,Placenta,83,,E84-E84,2019,WB Saunders Ltd
"Gordon, Elizabeth; Barnes, Josephine; Bartlett, Jonathan; Rohrer, Jonathan; Cardoso, Manuel; Ourselin, Sebastien; Leung, Kelvin; ",IC‐P‐056: Alzheimer's disease can be accurately differentiated from semantic dementia using automated measurement of hippocampal asymmetry,Alzheimer's & Dementia,9,,P34-P35,2013,Wiley Online Library
"Fiford, Cassidy M; Nicholas, Jennifer M; Biessels, Geert Jan; Cardoso, M Jorge; Barnes, Josephine; ADNI investigators; ","[O3–10–04]: SIMULTANEOUS CHANGES IN BLOOD PRESSURE, COGNITION AND BRAIN VOLUME IN AGEING, MILD COGNITIVE IMPAIRMENT AND ALZHEIMER's DISEASE",Alzheimer's & Dementia,13,7S_Part_19,P924-P926,2017,Wiley Online Library
"Modat, Marc; Cash, David M; Daga, Pankaj; Winston, Gawin P; Duncan, John S; Ourselin, Sébastien; ",A symmetric block-matching framework for global registration,Medical Imaging 2014: Image Processing,9034,,340-346,2014,SPIE
"Nikitichev, Daniil I; Xia, Wenfeng; West, Simeon J; Desjardins, Adrien E; Ourselin, Sebastien; Vercauteren, Tom; ",Three-dimensional printed ultrasound and photoacoustic training phantoms for vasculature access (Conference Presentation),Photons Plus Ultrasound: Imaging and Sensing 2017,10064,,133-133,2017,SPIE
"Joyeux, Luc; Basurto, David; Bleeser, Tom; Van der Veeken, Lennart; Vergote, Simen; Kunpalin, Yada; Trigo, Lucas; Corno, Enrico; De Bie, Felix R; De Coppi, Paolo; ",Fetoscopic insufflation of heated‐humidified carbon dioxide during simulated spina bifida repair is safe under controlled anesthesia in the fetal lamb,Prenatal Diagnosis,42,2,180-191,2022,Wiley Online Library
"Colchester, Alan; Ourselin, Sébastien; Zhu, Yonggen; Bardinet, Eric; He, Yang; Roche, Alexis; Al-Sarraj, Safa; Nailon, Bill; Ironside, James; Ayache, Nicholas; ",3-d reconstruction of macroscopic optical brain slice images,"Medical Image Computing and Computer-Assisted Intervention–MICCAI 2000: Third International Conference, Pittsburgh, PA, USA, October 11-14, 2000. Proceedings 3",,,95-105,2000,Springer
